id,ip_address,event_name,match_no,time_sec,robot,alliance,action,location,result,points,timestamp
9000,192.198.1.1,TestData,1,0,9105,red,starting_position_2,starting_pad,success,0,2/8/2025 0:00:00
9001,192.198.1.1,TestData,1,1,9105,red,auton_left,starting_pad,success,0,2/8/2025 0:00:01
9002,192.198.1.1,TestData,1,0,5411,red,starting_position_2,starting_pad,success,0,2/8/2025 0:00:02
9003,192.198.1.1,TestData,1,1,5411,red,auton_left,starting_pad,success,0,2/8/2025 0:00:03
9004,192.198.1.1,TestData,1,0,6748,red,starting_position_3,starting_pad,success,0,2/8/2025 0:00:04
9005,192.198.1.1,TestData,1,1,6748,red,auton_right,starting_pad,success,0,2/8/2025 0:00:05
9006,192.198.1.1,TestData,1,0,7875,blue,starting_position_1,starting_pad,success,0,2/8/2025 0:00:06
9007,192.198.1.1,TestData,1,1,7875,blue,auton_left,starting_pad,success,0,2/8/2025 0:00:07
9008,192.198.1.1,TestData,1,3,9105,red,attempts_to_climb,barge,fail,0,2/8/2025 0:00:08
9009,192.198.1.1,TestData,1,5,7875,blue,attempts_to_climb,barge,success,0,2/8/2025 0:00:09
9010,192.198.1.1,TestData,1,6,6748,red,scores_coral_level_4,reef,success,8,2/8/2025 0:00:10
9011,192.198.1.1,TestData,1,8,9105,red,attempts_to_descore,opponent_reef,success,0,2/8/2025 0:00:11
9012,192.198.1.1,TestData,1,9,7875,blue,auton_right,starting_pad,fail,0,2/8/2025 0:00:12
9013,192.198.1.1,TestData,1,11,7875,blue,starting_position_1,starting_pad,fail,0,2/8/2025 0:00:13
9014,192.198.1.1,TestData,1,12,5411,red,scores_coral_level_3,reef,fail,0,2/8/2025 0:00:14
9015,192.198.1.1,TestData,1,14,6748,red,scores_coral_level_1,reef,success,2,2/8/2025 0:00:15
9016,192.198.1.1,TestData,1,19,6748,red,attempts_to_descore,opponent_reef,success,0,2/8/2025 0:00:16
9017,192.198.1.1,TestData,1,23,7875,blue,picks_up_algae,mid_field,success,0,2/8/2025 0:00:17
9018,192.198.1.1,TestData,1,24,6748,red,picks_up_algae,mid_field,fail,0,2/8/2025 0:00:18
9019,192.198.1.1,TestData,1,25,5411,red,picks_up_coral,station,success,0,2/8/2025 0:00:19
9020,192.198.1.1,TestData,1,26,7875,blue,scores_coral_level_3,reef,success,6,2/8/2025 0:00:20
9021,192.198.1.1,TestData,1,27,9105,red,scores_algae_net,net,success,8,2/8/2025 0:00:21
9022,192.198.1.1,TestData,1,29,9105,red,scores_algae_processor,processor,success,12,2/8/2025 0:00:22
9023,192.198.1.1,TestData,1,32,7875,blue,scores_coral_level_3,reef,success,6,2/8/2025 0:00:23
9024,192.198.1.1,TestData,1,33,5411,red,attempts_to_descore,opponent_reef,success,0,2/8/2025 0:00:24
9025,192.198.1.1,TestData,1,36,7875,blue,attempts_shallow_climb,barge,success,12,2/8/2025 0:00:25
9026,192.198.1.1,TestData,1,39,5411,red,scores_algae_net,net,fail,0,2/8/2025 0:00:26
9027,192.198.1.1,TestData,1,43,5411,red,starting_position_3,starting_pad,fail,0,2/8/2025 0:00:27
9028,192.198.1.1,TestData,1,46,5411,red,crosses_starting_line,starting_line,success,0,2/8/2025 0:00:28
9029,192.198.1.1,TestData,1,50,6748,red,scores_coral_level_4,reef,success,8,2/8/2025 0:00:29
9030,192.198.1.1,TestData,1,54,9105,red,scores_coral_level_1,reef,success,2,2/8/2025 0:00:30
9031,192.198.1.1,TestData,1,57,9105,red,starting_position_2,starting_pad,success,0,2/8/2025 0:00:31
9032,192.198.1.1,TestData,1,58,6748,red,attempts_deep_climb,barge,success,24,2/8/2025 0:00:32
9033,192.198.1.1,TestData,1,59,6748,red,scores_coral_level_2,reef,success,4,2/8/2025 0:00:33
9034,192.198.1.1,TestData,1,62,6748,red,attempts_shallow_climb,barge,success,12,2/8/2025 0:00:34
9035,192.198.1.1,TestData,1,66,7875,blue,scores_coral_level_3,reef,success,6,2/8/2025 0:00:35
9036,192.198.1.1,TestData,1,70,6748,red,auton_right,starting_pad,fail,0,2/8/2025 0:00:36
